RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,18,Y2,2024 Q1,2.0,3.0,True,False,True,APPROVED,4,500,Y2,Eligible,Rewards,Low,77,1,,,,,,,,,0,,,,,,,,1,4300.00,1,1577.47200000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,18,Y2,2022 Q3,5.0,4.0,False,False,False,APPROVED,1,3000,Y2,Eligible,Non-Rewards,High,2,9,9.0,0.0,0.0,8233.54,1655.24,8487.08,33550.00,0.0,0,0.00,0.00,0.0,0.00,0.0,7677.04334406,7617.60,9,33550.00,9,7677.04334406,0.000000,0E-8,0.25296811,3727.77777778,0.00,0.0,1655.24,0,7677.04334406,0.21560905,0.000375,0.235277855,0.14969130098719347,0.2453039,0.5466,0.0016400000000000002,3670,0.008,0.0213,859.9934507281403,0.76161322
F,7,Y1-S7,2019 H2,4.0,2.0,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,Low,35,44,,,,,,,,,0,,,,,,,,41,50250.00,44,18262.64378485,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.00892094288,0.41639118,0.048263062461176474,0.41639118,0.8393731662892541,0.001019999999999,850,0.00522745,0.03,282.38884595285197,0.9102563418171141
F,18,Y2,2023 Q3,14.0,2.0,False,False,False,OTHER,2,0,Y2,Eligible,Rewards,Low,48,3,,,,,,,,,0,,,,,,,,2,2200.00,3,0E-8,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01057660196,0.5182155,0.00877907715932914,0.5182154999999999,0.892,0.0014600000000000001,1431,0.0045000000000000005,0.0534,418.54739016188694,0.87920042
F,7,Y1-S7,2018 H1,11.0,4.0,False,False,False,OTHER,1,0,Y1,Eligible,Non-Rewards,Low,53,7,,,,,,,,,0,,,,,,,,8,4700.00,7,663.41600000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.0168457313,0.63783891,0.03486975514375,0.63783891,0.89604237046521,0.0008399999999990001,640,0.0060948800000000004,0.060500000000000005,168.2640038923759,0.9329387415379221
F,11,Y1-S11,2022 Q1,11.0,5.0,False,False,False,APPROVED,2,1000,Y1,Eligible,Non-Rewards,Low,74,4,,,,,,,,,0,,,,,,,,2,6100.00,4,6504.75096774,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2024 Q3,4.0,,False,False,False,APPROVED,1,1000,Y1,Eligible,Rewards,Low,79,1,,,,,,,,,0,,,,,,,,1,4000.00,1,2598.62433333,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2024 Q1,10.0,7.0,False,False,False,APPROVED,2,100,Y1,Eligible,Rewards,Low,72,49,,,,,,,,,0,,,,,,,,47,98200.00,49,71046.42033335,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,,,,,,,,,,,
F,7,Y1-S7,2021 H2,13.0,3.0,False,False,False,APPROVED,2,100,Y1,Not Eligible,Non-Rewards,Low,54,1,,,,,,,,,0,,,,,,,,1,1600.00,1,1208.34300000,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01972714569,0.54341194,0.031007912011017498,0.54341194,0.907087166245342,0.0008399999999990001,1543,0.00626828,0.06420000000000001,282.7956625546991,0.9240317199769471
F,7,Y1-S7,2020 H1,7.0,1.0,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,Low,34,71,,,,,,,,,0,,,,,,,,445,294550.00,71,67890.43389807,0.000000,0E-8,0E-8,0E-8,,,,0,,0E-8,0.01326847367,0.33897407,0.04325108464936709,0.33897407,0.86955055864978,0.001019999999999,790,0.0056416,0.0472,184.99197112189484,0.8811869824598241
