RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PRINCIPAL_BALANCE_OPEN_ACCOUNTS,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT,ACTUAL_PBAD_PER_OPEN,ACTUAL_SEVERITY,ACTUAL_UTIL,ACTUAL_DQ30,ACTUAL_CREDIT_LINE,ACTUAL_CASH_ADVANCE,ACTUAL_PENALTY,ACTUAL_PVOL,ACTUAL_ATTRITION,ACTUAL_OUTSTANDING
F,11,Y1-S11,2022 Q1,2.0,6.0,True,False,False,APPROVED,1,500,Y1,Eligible,Rewards,High,14,1,1.0,0.0,0.0,2310.86,454.21,2395.71,2350.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2218.46096774,2235.33,1,2350.0,1,2218.46096774,0.0,0.0,1.01945106,2350.0,0.0,0.0,454.21,0,2218.46096774,0.20474104,0.002472389355,0.75191813,0.10160065679724561,0.75191813,0.7125175358641971,0.0009600000000000001,1307,0.0041554800000000005,0.016800000000000002,957.5268757622671,0.937745219403292,0.0,,0.9833446808510639,0.0,2350.0,0.0,0.0,0.18959306426904757,0.0,2218.46096774
F,11,Y1-S11,2025 Q2,10.0,4.0,False,False,False,OTHER,4,0,Y1,Eligible,Non-Rewards,Low,25,5,,,,,,,,,0,,,,,,,,5,18500.0,5,10429.30680645,0.0,0.0,0.0,0.0,,,,0,,0.0,0.02022209014,0.61755367,0.030519816841833813,0.61755367,0.9051672699637231,0.0011400000000000002,3490,0.0059929300000000005,0.0668,1554.9934420506243,0.9329387415379221,,,,,,,,,,
F,11,Y1-S11,2022 Q4,5.0,9.0,False,False,False,OTHER,1,0,Y1,Eligible,Rewards,High,25,2,2.0,0.0,0.0,4038.26,0.0,4371.03,3700.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4315.04677419,3900.21,2,3700.0,2,4315.04677419,0.0,0.0,1.18135946,1850.0,0.0,0.0,0.0,0,4315.04677419,0.0,0.01303861371,0.84623693,0.049811655916323735,0.84623693,0.8612966333731491,0.0011400000000000002,729,0.0053725,0.0371,518.3592059686293,0.9472573796835111,0.0,,1.0914216216216217,0.0,1850.0,0.0,0.0,0.0,0.0,4315.04677419
F,11,Y1-S11,2024 Q1,3.0,7.0,True,False,False,APPROVED,3,1000,Y1,Eligible,Non-Rewards,Low,60,3,,,,,,,,,0,,,,,,,,16,75250.0,3,60237.77043009,0.0,0.0,0.0,0.0,,,,0,,0.0,0.007500019855,0.7098537731,0.059314116500432904,0.71397484,0.829476701018487,0.0008399999999990001,3465,0.00507363,0.0261,1606.5350868277867,0.9441795241852121,,,,,,,,,,
F,7,Y1-S7,2023 Q2,4.0,6.0,True,False,False,APPROVED,2,1000,Y1,Eligible,Rewards,High,3,62,62.0,0.0,0.0,119958.44,22992.59,122896.22,172200.0,0.0,0,0.0,0.0,1.0,535.99,0.0,124539.98184916,114417.73,62,172200.0,62,124539.98184916,0.0,0.0,0.71368304,2777.41935484,535.99,0.0,22992.59,0,124539.98184916,0.18462015,0.0002013855624,0.70599525,0.16331078432446594,0.70599525,0.593102947868659,0.0007800000000000001,2481,0.00555345,0.01,1746.4517214520008,0.9376376679513071,0.0,,0.6966227642276422,0.0,2777.4193548387098,0.016129032258064516,0.0,0.18708948086442365,0.0,124539.98184916
F,26,Y3,2024 Q3,11.0,8.0,False,False,True,OTHER,7,0,Y3+,Eligible,Non-Rewards,Low,62,1,,,,,,,,,0,,,,,,,,1,6050.0,1,4941.61566667,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,7,Y1-S7,2024 Q1,7.0,8.0,False,False,False,APPROVED,2,100,Y1,Eligible,Non-Rewards,Low,57,10,,,,,,,,,0,,,,,,,,9,22900.0,10,16812.89713978,0.0,0.0,0.0,0.0,,,,0,,0.0,0.01326847367,0.7999609,0.039500965084713374,0.7999609,0.86955055864978,0.0008399999999990001,1570,0.0056416,0.0463,624.4063900791457,0.9461976067505481,,,,,,,,,,
F,11,Y1-S11,2023 Q1,1.0,6.0,True,False,True,APPROVED,3,2000,Y1,Eligible,Non-Rewards,High,27,7,7.0,0.0,0.0,40232.14,4677.05,42336.92,55300.0,0.0,0,0.0,0.0,0.0,0.0,0.0,41535.08031183,40799.89,7,55300.0,7,41535.08031183,0.0,0.0,0.76558626,7900.0,0.0,0.0,4677.05,0,41535.08031183,0.11260481,0.003823993379,0.6617523419,0.08716378336975743,0.68344406,0.7772538890410651,0.0011400000000000002,4411,0.00420561,0.013800000000000002,2720.071774722173,0.941835764111678,0.0,,0.7275251356238698,0.0,7900.0,0.0,0.0,0.11047213637647708,0.0,41535.08031183
F,11,Y1-S11,2022 Q2,2.0,4.0,False,False,False,OTHER,3,0,Y1,Eligible,Non-Rewards,Low,61,7,,,,,,,,,0,,,,,,,,5,14900.0,7,11378.408,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
F,18,Y2,2023 Q4,5.0,5.0,False,False,True,OTHER,5,0,Y2,Eligible,Rewards,Low,73,18,,,,,,,,,0,,,,,,,,15,80450.0,18,38326.80739785,0.0,0.0,0.0,0.0,,,,0,,0.0,,,,,,,,,,,,,,,,,,,,,
