RETRO_RISK_SERIES,STATEMENT_SEGMENT,NPV_STATEMENT_NUMBER_SEGMENT,COHORT,RETRO_RISK_GROUP,COMBINED_UTIL_GROUP,IS_IN_IN,IS_SWAP_IN,IS_4K_PLUS,REAL_OUTCOME,CREDIT_LIMIT_BUCKET,CLIP_AMOUNT_GROUP_ASSUMPTIONS,STATEMENT_SEGMENT_NEW,ELIGIBILITY_CATEGORY,REWARDS_TYPE,APR_TYPE,STATEMENTS_SINCE_CLIP,ORIGINAL_STATEMENTS,OPEN_STATEMENTS,CHARGED_OFF_STATEMENTS,CHARGEOFFS_PBAD,PURCHASE_BALANCE_OPEN_ACCOUNTS,TOTAL_BALANCE_OPEN_ACCOUNTS,CREDIT_LIMIT_OPEN_ACCOUNTS,BKT2_ACCOUNTS,VOLUNTARY_CLOSURES,PRINCIPAL_BALANCE_CHARGEDOFF_ACCOUNTS,CREDIT_LIMIT_CHARGEDOFF_ACCOUNTS,CASH_ADVANCE_TAKERS,CASH_ADVANCE_AMOUNT,LATE_FEES,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS,AVERAGE_PURCHASE_BALANCE_OPEN_ACCOUNTS,DQ30_RATE,OPEN_STATEMENTS_ASSUMPTIONS,CREDIT_LIMIT_OPEN_ACCOUNTS_ASSUMPTIONS,ORIGINAL_STATEMENTS_ASSUMPTIONS,AVERAGE_OUTSTANDING_BALANCE_OPEN_ACCOUNTS_ASSUMPTIONS,PBAD,SEVERITY,UTILIZATION,CREDIT_LINE,CASH_ADVANCE_AGGREGATE,PENALTY_AGGREGATE,PVOL_AGGREGATE,ATTRITION_AGGREGATE,OUTSTANDING_AGGREGATE,REVOLVE_AGGREGATE,PBAD_PER_OPEN,UTILIZATION_PER_OPEN,FINAL_PURCHASE_VOLUME_PERCENTAGE,UTIL_OPEN_ASMPT,SEVERITY_ASMPT,CLOSE_OPEN_ASMPT,CREDIT_LINE_PER_OPEN,CASH_INCIDENCE_ASMPT,PENALTY_FEE_RATE_ASMPT,OUTSTANDINGS_PER_ORIGINAL_ASMPT,REVOLVE_RATE_ASMPT
F,7,Y1-S7,2024 Q3,1,1,True,False,True,APPROVED,3,1500,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,4500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,4500.00,1,0E-8,0.000000,0E-8,0E-8,4500.00000000,0.00,0.0,0.00,0,0E-8,0E-8,6.335860973000000e-05,0.05321807491,0.23212166329148556,0.05383753,0.292112138297198,0.0007800000000000001,3911,0.00329744,0.004,207.96035777736412,0.183202058869739
F,11,Y1-S11,2023 Q3,1,1,True,False,False,APPROVED,3,1500,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,3600.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,3600.00,1,0E-8,0.000000,0E-8,0E-8,3600.00000000,0.00,0.0,0.00,0,0E-8,0E-8,8.112570174000000e-05,0.09837603901,0.21711564247941703,0.09952113,0.292112138297198,0.0007800000000000001,3911,0.00329744,0.004,384.41737158367323,0.183202058869739
F,11,Y1-S11,2023 Q3,1,1,True,False,False,APPROVED,3,1500,Y1,Not Eligible,Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,4000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,4000.00,1,0E-8,0.000000,0E-8,0E-8,4000.00000000,0.00,0.0,0.00,0,0E-8,0E-8,8.112570174000000e-05,0.09837603901,0.21711564247941703,0.09952113,0.292112138297198,0.0007800000000000001,3911,0.00329744,0.004,384.41737158367323,0.183202058869739
F,7,Y1-S7,2024 Q4,1,1,True,False,False,APPROVED,2,500,Y1,Not Eligible,Rewards,High,1,37,37.0,0.0,0.0,4759.91,1657.80,90000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,2071.02989247,0.00,0.000000,37,90000.00,37,2071.02989247,0.000000,0E-8,0.01842000,2432.43243243,0.00,0.0,4759.91,0,2071.02989247,2.29832994,6.034153308000000e-05,0.05226945,0.2218031300895,0.05226945,0.292112138297198,0.0007800000000000001,2000,0.00329744,0.004,104.4510516205075,0.183202058869739
F,7,Y1-S7,2020 H2,1,1,True,False,False,APPROVED,2,500,Y1,Eligible,Non-Rewards,High,1,508,508.0,0.0,0.0,158545.51,124686.12,1016000.00,0.0,0,0.00,0.00,2.0,610.99,8.0,110503.92000000,27656.69,0.000000,508,1016000.00,508,110503.92000000,0.000000,0E-8,0.12272256,2000.00000000,610.99,8.0,158545.51,0,110503.92000000,1.43475010,6.034153308000000e-05,0.05226945,0.2218031300895,0.05226945,0.292112138297198,0.0007800000000000001,2000,0.00329744,0.004,104.4510516205075,0.183202058869739
F,7,Y1-S7,2022 Q3,1,1,False,False,False,APPROVED,1,100,Y1,Not Eligible,Non-Rewards,High,1,1077,1073.0,0.0,0.0,19223.08,13732.27,970700.00,0.0,4,0.00,0.00,0.0,0.00,0.0,6439.08777397,0.00,0.000000,1073,970700.00,1077,6439.08777397,0.000000,0E-8,0.01414677,904.65983225,0.00,0.0,19223.08,4,6439.08777397,2.98537319,6.034153308000000e-05,0.05731422,0.21061033833017875,0.05731422,0.292112138297198,0.0007800000000000001,951,0.00329744,0.004,54.46001971295352,0.183202058869739
F,11,Y1-S11,2023 Q2,1,1,True,False,False,APPROVED,1,1500,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,2350.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,2350.00,1,0E-8,0.000000,0E-8,0E-8,2350.00000000,0.00,0.0,0.00,0,0E-8,0E-8,8.112570174000000e-05,0.1142804,0.24113085364695874,0.11428039999999999,0.292112138297198,0.0007800000000000001,2351,0.00329744,0.004,268.4418589845443,0.183202058869739
F,11,Y1-S11,2024 Q4,1,1,True,False,False,APPROVED,2,500,Y1,Eligible,Rewards,High,1,75,75.0,0.0,0.0,13707.42,8981.73,165250.00,0.0,0,0.00,0.00,1.0,63.50,0.0,8430.29709675,1665.27,0.000000,75,165250.00,75,8430.29709675,0.000000,0E-8,0.05435238,2203.33333333,63.50,0.0,13707.42,0,8430.29709675,1.62597117,7.726257308000001e-05,0.0999441,0.2045147405905,0.0999441,0.292112138297198,0.0007800000000000001,2000,0.00329744,0.004,199.71684332733963,0.183202058869739
F,11,Y1-S11,2023 Q4,1,1,True,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,1350.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,1350.00,1,0E-8,0.000000,0E-8,0E-8,1350.00000000,0.00,0.0,0.00,0,0E-8,0E-8,7.726257308000001e-05,0.1142804,0.2158476222531458,0.11428039999999999,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,154.2604652135188,0.183202058869739
F,7,Y1-S7,2024 Q4,1,1,True,False,False,APPROVED,2,500,Y1,Eligible,Rewards,High,1,433,432.0,1.0,12.0,154723.96,82862.04,1058500.00,0.0,0,50.00,2500.00,3.0,983.95,0.0,71791.38770969,11170.65,0.000000,432,1058500.00,433,71791.38770969,0.027778,50.00000000,0.07828251,2450.23148148,983.95,0.0,154723.96,0,71791.38770969,2.15518832,6.034153308000000e-05,0.05226945,0.2218031300895,0.05226945,0.292112138297198,0.0007800000000000001,2000,0.00329744,0.004,104.4510516205075,0.183202058869739
F,7,Y1-S7,2023 Q1,1,1,True,False,False,APPROVED,1,1000,Y1,Eligible,Rewards,High,1,155,155.0,0.0,0.0,56501.49,30814.07,291750.00,0.0,0,0.00,0.00,2.0,971.50,0.0,24813.72683119,3714.36,0.000000,155,291750.00,155,24813.72683119,0.000000,0E-8,0.10561806,1882.25806452,971.50,0.0,56501.49,0,24813.72683119,2.27702555,6.185007140000001e-05,0.05731422,0.24423148080713128,0.05731422,0.292112138297198,0.0007800000000000001,1851,0.00329744,0.004,105.9993105066512,0.183202058869739
F,11,Y1-S11,2023 Q4,1,1,True,False,False,APPROVED,1,500,Y1,Eligible,Non-Rewards,High,1,14,13.0,0.0,0.0,2165.90,738.08,16400.00,0.0,1,0.00,0.00,0.0,0.00,0.0,716.93230107,0.00,0.000000,13,16400.00,14,716.93230107,0.000000,0E-8,0.04500488,1261.53846154,0.00,0.0,2165.90,1,716.93230107,3.02106628,7.726257308000001e-05,0.1142804,0.2158476222531458,0.11428039999999999,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,154.2604652135188,0.183202058869739
F,7,Y1-S7,2025 Q1,1,1,False,False,False,APPROVED,2,300,Y1,Eligible,Rewards,High,1,1,1.0,0.0,0.0,0.00,0.00,2250.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,2250.00,1,0E-8,0.000000,0E-8,0E-8,2250.00000000,0.00,0.0,0.00,0,0E-8,0E-8,6.034153308000000e-05,0.05226945,0.2153637199488889,0.05226945,0.292112138297198,0.0007800000000000001,1800,0.00329744,0.004,94.00594645845675,0.183202058869739
F,11,Y1-S11,2023 Q4,1,1,True,False,False,APPROVED,1,500,Y1,Eligible,Rewards,High,1,10,10.0,0.0,0.0,2882.43,986.28,12800.00,0.0,0,0.00,0.00,0.0,0.00,0.0,892.43558063,0.00,0.000000,10,12800.00,10,892.43558063,0.000000,0E-8,0.07705313,1280.00000000,0.00,0.0,2882.43,0,892.43558063,3.22984657,7.726257308000001e-05,0.1142804,0.2158476222531458,0.11428039999999999,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,154.2604652135188,0.183202058869739
F,7,Y1-S7,2024 Q1,1,1,True,False,False,APPROVED,1,1500,Y1,Not Eligible,Rewards,High,1,1,1.0,0.0,0.0,0.00,-0.11,2500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,0E-8,0.00,0.000000,1,2500.00,1,0E-8,0.000000,0E-8,-0.00004400,2500.00000000,0.00,0.0,0.00,0,0E-8,0E-8,6.335860973000000e-05,0.05731422,0.2517870615278605,0.05731422,0.292112138297198,0.0007800000000000001,2351,0.00329744,0.004,134.63209224745125,0.183202058869739
F,7,Y1-S7,2020 H2,1,1,True,False,False,APPROVED,2,300,Y1,Eligible,Non-Rewards,High,1,9,9.0,0.0,0.0,1792.87,2118.56,15300.00,0.0,0,0.00,0.00,0.0,0.00,0.0,1684.70000000,974.68,0.000000,9,15300.00,9,1684.70000000,0.000000,0E-8,0.13846797,1700.00000000,0.00,0.0,1792.87,0,1684.70000000,1.06420728,6.034153308000000e-05,0.05226945,0.2153637199488889,0.05226945,0.292112138297198,0.0007800000000000001,1800,0.00329744,0.004,94.00594645845675,0.183202058869739
F,11,Y1-S11,2023 Q2,1,1,True,False,False,APPROVED,1,1500,Y1,Eligible,Rewards,High,1,10,10.0,0.0,0.0,1776.46,1100.98,23000.00,0.0,0,0.00,0.00,0.0,0.00,0.0,899.14878492,22.44,0.000000,10,23000.00,10,899.14878492,0.000000,0E-8,0.04786870,2300.00000000,0.00,0.0,1776.46,0,899.14878492,1.97571306,8.112570174000000e-05,0.1142804,0.24113085364695874,0.11428039999999999,0.292112138297198,0.0007800000000000001,2351,0.00329744,0.004,268.4418589845443,0.183202058869739
F,7,Y1-S7,2023 Q4,1,1,True,False,False,APPROVED,1,500,Y1,Not Eligible,Non-Rewards,High,1,2,2.0,0.0,0.0,107.37,107.37,2500.00,0.0,0,0.00,0.00,0.0,0.00,0.0,19.15645161,0.00,0.000000,2,2500.00,2,19.15645161,0.000000,0E-8,0.04294800,1250.00000000,0.00,0.0,107.37,0,19.15645161,5.60490023,6.034153308000000e-05,0.05731422,0.23108331628053294,0.05731422,0.292112138297198,0.0007800000000000001,1351,0.00329744,0.004,77.36644230515269,0.183202058869739
F,7,Y1-S7,2022 Q3,1,1,False,False,False,APPROVED,1,100,Y1,Eligible,Non-Rewards,High,1,425,422.0,0.0,0.0,31051.30,20035.01,412300.00,0.0,3,0.00,0.00,3.0,446.75,0.0,14883.97319281,1081.19,0.000000,422,412300.00,425,14883.97319281,0.000000,0E-8,0.04859328,977.01421801,446.75,0.0,31051.30,3,14883.97319281,2.08622386,6.034153308000000e-05,0.05731422,0.21061033833017875,0.05731422,0.292112138297198,0.0007800000000000001,951,0.00329744,0.004,54.46001971295352,0.183202058869739
